Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
1,Josh Jacobs,GB,340,"1,653",4.9,86,7,12,53,64,400,7.5,0,1,17,275.3,16.2,96.3%,2022,RB,Full
2,Christian McCaffrey,SF,244,"1,139",4.7,49,9,8,85,108,741,8.7,5,0,17,271.4,16.0,66.6%,2022,RB,Full
3,Derrick Henry,BAL,349,"1,538",4.4,56,10,13,33,41,398,12.1,0,3,16,269.8,16.9,97.5%,2022,RB,Full
4,Austin Ekeler,WAS,204,915,4.5,72,4,13,107,127,722,6.7,5,3,17,265.7,15.6,51.4%,2022,RB,Full
5,Nick Chubb,CLE,302,"1,525",5.0,41,13,12,27,37,239,8.9,1,1,17,254.4,15.0,55.1%,2022,RB,Full
6,Saquon Barkley,PHI,295,"1,312",4.4,68,9,10,57,76,338,5.9,0,0,16,227.0,14.2,97.8%,2022,RB,Full
7,Jamaal Williams,FA,262,"1,066",4.1,58,4,17,12,16,73,6.1,0,2,17,213.9,12.6,2.5%,2022,RB,Full
8,Tony Pollard,TEN,193,"1,007",5.2,57,9,9,39,55,371,9.5,3,0,16,209.8,13.1,80.4%,2022,RB,Full
9,Dalvin Cook,FA,264,"1,173",4.4,81,5,8,39,56,295,7.6,2,4,17,198.8,11.7,0.9%,2022,RB,Full
10,Miles Sanders,CAR,259,"1,269",4.9,40,9,11,20,26,78,3.9,0,2,17,196.7,11.6,5.1%,2022,RB,Full
11,Aaron Jones Sr.,MIN,213,"1,121",5.3,36,6,2,59,72,395,6.7,5,3,17,189.6,11.2,91.4%,2022,RB,Full
12,Najee Harris,PIT,272,"1,034",3.8,36,1,7,41,53,229,5.6,3,2,17,182.5,10.7,85.5%,2022,RB,Full
13,Joe Mixon,HOU,212,826,3.9,40,4,7,60,75,441,7.4,2,0,15,180.7,12.0,93.9%,2022,RB,Full
14,Rhamondre Stevenson,NE,210,"1,040",5.0,49,7,5,69,88,421,6.1,1,1,17,180.1,10.6,80.6%,2022,RB,Full
