Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
1,Cooper Kupp,LAR,145,191,"1,947",13.4,59,30,16,4,18,0,0,17,294.5,17.3,90.9%,2021,WR,Full
2,Deebo Samuel Sr.,WAS,77,121,"1,405",18.2,83,24,6,59,365,8,2,16,262.0,16.4,84.5%,2021,WR,Full
3,Ja'Marr Chase,CIN,81,128,"1,455",18.0,82,22,13,7,21,0,1,17,223.6,13.2,94.0%,2021,WR,Full
4,Justin Jefferson,MIN,108,167,"1,616",15.0,56,27,10,6,14,0,1,17,222.4,13.1,98.3%,2021,WR,Full
5,Davante Adams,FA,123,169,"1,553",12.6,59,19,11,0,0,0,0,16,221.3,13.8,91.0%,2021,WR,Full
6,Mike Evans,TB,74,114,"1,035",14.0,46,20,14,1,10,0,0,16,188.5,11.8,94.8%,2021,WR,Full
7,Tyreek Hill,MIA,111,159,"1,239",11.2,75,13,9,9,96,0,1,17,185.5,10.9,92.8%,2021,WR,Full
8,Stefon Diggs,HOU,103,164,"1,225",11.9,61,12,10,0,0,0,0,17,182.5,10.7,46.3%,2021,WR,Full
9,Mike Williams,PIT,76,129,"1,146",15.1,72,17,9,0,0,0,0,16,170.6,10.7,18.1%,2021,WR,Full
10,DK Metcalf,SEA,75,129,967,12.9,84,11,12,1,6,0,0,17,169.3,10.0,88.3%,2021,WR,Full
11,Tyler Lockett,FA,73,107,"1,175",16.1,69,22,8,2,9,0,0,16,168.4,10.5,44.2%,2021,WR,Full
12,Diontae Johnson,BAL,107,169,"1,161",10.9,50,14,8,5,53,0,2,16,167.4,10.5,39.6%,2021,WR,Full
13,Hunter Renfrow,FA,103,128,"1,038",10.1,54,10,9,3,3,0,1,17,156.1,9.2,0.0%,2021,WR,Full
14,CeeDee Lamb,DAL,79,120,"1,102",13.9,49,20,6,9,76,0,0,16,153.8,9.6,87.2%,2021,WR,Full
15,Keenan Allen,CHI,106,157,"1,138",10.7,42,12,6,0,0,0,0,16,151.8,9.5,76.2%,2021,WR,Full
16,Michael Pittman Jr.,IND,88,129,"1,082",12.3,57,12,6,5,44,0,0,17,150.6,8.9,70.7%,2021,WR,Full
17,Tee Higgins,CIN,74,110,"1,091",14.7,54,17,6,0,0,0,1,14,145.1,10.4,87.7%,2021,WR,Full
18,DJ Moore,CHI,93,163,"1,157",12.4,64,16,4,8,48,0,1,17,144.5,8.5,86.7%,2021,WR,Full
19,Chris Godwin,TB,98,127,"1,103",11.3,44,15,5,4,21,1,2,14,144.4,10.3,45.3%,2021,WR,Full
20,Brandin Cooks,DAL,90,134,"1,037",11.5,52,12,6,2,21,0,0,16,141.8,8.9,18.2%,2021,WR,Full
21,Jaylen Waddle,MIA,104,140,"1,015",9.8,57,8,6,2,3,1,1,16,141.8,8.9,79.3%,2021,WR,Full
22,Darnell Mooney,ATL,81,140,"1,055",13.0,64,14,4,6,32,1,0,17,138.7,8.2,67.9%,2021,WR,Full
23,Amon-Ra St. Brown,DET,90,119,912,10.1,37,11,5,7,61,1,0,16,137.3,8.6,97.2%,2021,WR,Full
24,Terry McLaurin,WAS,77,130,"1,053",13.7,46,15,5,1,12,0,0,17,136.5,8.0,91.3%,2021,WR,Full
25,Marquise Brown,KC,91,146,"1,008",11.1,49,15,6,1,5,0,1,16,135.3,8.5,40.3%,2021,WR,Full
26,Amari Cooper,BUF,68,104,865,12.7,41,15,8,0,0,0,0,15,134.5,9.0,75.3%,2021,WR,Full
27,Adam Thielen,CAR,67,95,726,10.8,35,14,10,1,2,0,0,13,132.8,10.2,61.9%,2021,WR,Full
28,Christian Kirk,JAC,77,103,982,12.8,50,16,5,1,11,0,0,17,130.6,7.7,34.9%,2021,WR,Full
29,Kendrick Bourne,NE,55,70,800,14.5,75,10,5,12,125,0,1,17,125.5,7.4,4.0%,2021,WR,Full
30,DeVonta Smith,PHI,64,104,916,14.3,46,16,5,0,0,0,1,17,121.6,7.2,89.2%,2021,WR,Full
31,Van Jefferson,PIT,50,89,802,16.0,79,12,6,2,20,0,0,17,118.2,7.0,1.5%,2021,WR,Full
32,A.J. Brown,PHI,63,105,869,13.8,57,10,5,2,10,0,0,13,117.9,9.1,96.7%,2021,WR,Full
33,Tyler Boyd,TEN,67,94,828,12.4,68,10,5,2,22,0,0,16,116.8,7.3,4.6%,2021,WR,Full
34,Brandon Aiyuk,SF,56,84,826,14.8,43,16,5,5,17,0,1,17,114.3,6.7,43.5%,2021,WR,Full
35,K.J. Osborn,WAS,50,82,655,13.1,64,10,7,1,10,0,0,17,108.5,6.4,1.3%,2021,WR,Full
36,Chase Claypool,FA,59,105,860,14.6,59,13,2,14,96,0,0,15,107.6,7.2,1.4%,2021,WR,Full
37,Marvin Jones Jr.,FA,73,120,832,11.4,33,13,4,0,0,0,0,17,107.2,6.3,0.0%,2021,WR,Full
38,Marquez Callaway,TB,46,84,698,15.2,58,9,6,0,0,0,0,17,105.8,6.2,0.0%,2021,WR,Full
39,DeAndre Hopkins,KC,42,64,572,13.6,55,7,8,0,0,0,0,10,105.2,10.5,72.8%,2021,WR,Full
40,Tim Patrick,DET,53,85,734,13.8,44,10,5,0,0,0,0,16,103.4,6.5,6.3%,2021,WR,Full
41,Jakobi Meyers,LV,83,126,866,10.4,39,12,2,1,9,0,1,16,103.3,6.5,72.7%,2021,WR,Full
42,Cedrick Wilson Jr.,NO,45,61,602,13.4,73,8,6,2,11,0,0,14,102.8,7.3,0.7%,2021,WR,Full
43,A.J. Green,FA,54,92,848,15.7,42,16,3,0,0,0,0,16,102.8,6.4,0.9%,2021,WR,Full
44,Allen Lazard,NYJ,40,60,513,12.8,42,8,8,3,32,0,0,14,102.5,7.3,6.7%,2021,WR,Full
45,Russell Gage,SF,66,94,770,11.7,49,8,4,0,0,0,2,13,97.0,7.5,0.0%,2021,WR,Full
46,Elijah Moore,CLE,43,77,538,12.5,62,9,5,5,54,1,0,11,95.2,8.7,17.4%,2021,WR,Full
47,Courtland Sutton,DEN,58,98,776,13.4,55,9,2,0,0,0,0,17,92.2,5.4,84.6%,2021,WR,Full
48,Robert Woods,HOU,45,69,556,12.4,28,8,4,8,46,1,0,9,92.2,10.2,0.6%,2021,WR,Full
49,Gabe Davis,JAC,35,63,549,15.7,49,13,6,0,0,0,0,15,90.9,6.1,18.0%,2021,WR,Full
50,Emmanuel Sanders,FA,42,72,626,14.9,41,10,4,2,31,0,0,14,89.7,6.4,0.0%,2021,WR,Full
51,Robbie Chosen,FA,53,110,519,9.8,57,3,5,3,36,0,0,17,85.5,5.0,0.0%,2021,WR,Full
52,Odell Beckham Jr.,FA,44,82,537,12.2,54,7,5,2,14,0,0,14,85.1,6.1,2.6%,2021,WR,Full
53,Byron Pringle,FA,42,60,568,13.5,40,11,5,0,0,0,1,16,84.8,5.3,0.0%,2021,WR,Full
54,Kalif Raymond,DET,48,71,576,12.0,75,8,4,4,28,0,0,16,84.4,5.3,2.6%,2021,WR,Full
55,Mecole Hardman Jr.,KC,59,83,693,11.7,53,8,2,8,46,0,2,17,81.9,4.8,0.2%,2021,WR,Full
56,Jarvis Landry,FA,52,87,570,11.0,38,7,2,6,40,2,2,12,81.0,6.8,7.1%,2021,WR,Full
57,Antonio Brown,FA,42,62,545,13.0,62,10,4,1,6,0,0,7,79.1,11.3,1.0%,2021,WR,Full
58,Cole Beasley,FA,82,112,693,8.5,29,5,1,0,0,0,0,16,77.3,4.8,0.0%,2021,WR,Full
59,Deonte Harty,BAL,36,59,570,15.8,72,5,3,5,41,0,1,13,77.1,5.9,0.1%,2021,WR,Full
60,Donovan Peoples-Jones,FA,34,58,597,17.6,60,12,3,0,0,0,1,14,75.7,5.4,0.0%,2021,WR,Full
61,Braxton Berrios,MIA,46,65,431,9.4,46,5,2,7,40,2,1,16,75.1,4.7,0.8%,2021,WR,Full
62,Bryan Edwards,FA,34,59,571,16.8,51,11,3,1,0,0,0,16,75.1,4.7,0.0%,2021,WR,Full
63,Quez Watkins,ARI,43,62,647,15.0,91,12,1,1,3,0,0,17,73.0,4.3,0.0%,2021,WR,Full
64,Corey Davis,FA,34,59,492,14.5,53,9,4,0,0,0,1,9,71.2,7.9,0.0%,2021,WR,Full
65,Nick Westbrook-Ikhine,TEN,38,57,476,12.5,46,5,4,0,0,0,1,15,69.6,4.6,23.7%,2021,WR,Full
66,Nelson Agholor,BAL,37,64,473,12.8,44,9,3,3,11,0,0,15,66.4,4.4,1.2%,2021,WR,Full
67,Jalen Guyton,FA,31,48,448,14.5,59,4,3,7,34,0,0,16,66.2,4.1,0.0%,2021,WR,Full
68,Randall Cobb,FA,28,39,375,13.4,54,6,5,1,1,0,1,11,65.6,6.0,1.3%,2021,WR,Full
69,Laviska Shenault Jr.,FA,63,100,619,9.8,58,5,0,11,41,0,1,16,64.0,4.0,0.1%,2021,WR,Full
70,DeVante Parker,FA,40,73,515,12.9,42,7,2,0,0,0,0,10,63.5,6.4,0.0%,2021,WR,Full
71,DeAndre Carter,CHI,24,44,296,12.3,26,5,3,10,89,0,0,17,62.5,3.7,0.1%,2021,WR,Full
72,Freddie Swain,FA,25,40,343,13.7,68,6,4,5,32,0,0,17,61.5,3.6,0.0%,2021,WR,Full
73,Marquez Valdes-Scantling,NO,26,55,430,16.5,75,8,3,0,0,0,0,11,61.0,5.5,17.7%,2021,WR,Full
74,Henry Ruggs III,FA,24,36,469,19.5,61,9,2,3,16,0,0,7,60.5,8.6,8.4%,2021,WR,Full
75,Joshua Palmer,LAC,33,49,353,10.7,36,3,4,1,6,0,0,15,59.9,4.0,18.9%,2021,WR,Full
76,Zay Jones,ARI,47,70,546,11.6,43,8,1,2,3,0,1,15,58.9,3.9,3.6%,2021,WR,Full
77,Olamide Zaccheaus,WAS,31,53,406,13.1,49,4,3,1,2,0,0,15,58.8,3.9,8.1%,2021,WR,Full
78,Jamison Crowder,WAS,51,71,447,8.8,29,3,2,0,0,0,1,12,58.7,4.9,0.7%,2021,WR,Full
79,Jauan Jennings,SF,24,38,282,11.8,34,4,5,0,0,0,0,13,58.2,4.5,70.3%,2021,WR,Full
80,Rashod Bateman,BAL,46,68,515,11.2,36,8,1,0,0,0,0,12,57.5,4.8,35.3%,2021,WR,Full
81,Michael Gallup,FA,35,62,445,12.7,41,6,2,0,0,0,0,9,56.5,6.3,1.0%,2021,WR,Full
82,Zach Pascal,ARI,38,69,384,10.1,41,5,3,2,21,0,1,16,56.5,3.5,0.0%,2021,WR,Full
83,DeSean Jackson,FA,20,34,454,22.7,75,6,2,1,4,0,1,14,55.8,4.0,0.6%,2021,WR,Full
84,Tre'Quan Smith,FA,32,50,377,11.8,34,6,3,0,0,0,0,10,55.7,5.6,0.0%,2021,WR,Full
85,Rondale Moore,ATL,54,64,435,8.1,77,3,1,18,76,0,1,14,55.1,3.9,2.8%,2021,WR,Full
86,Kenny Golladay,FA,37,76,521,14.1,36,5,0,0,0,0,0,14,52.1,3.7,4.0%,2021,WR,Full
87,Jamal Agnew,FA,24,39,229,9.5,29,4,1,7,111,1,0,12,52.0,4.3,0.0%,2021,WR,Full
88,Josh Reynolds,JAC,29,49,396,13.7,39,6,2,0,0,0,0,11,51.6,4.7,1.6%,2021,WR,Full
89,T.Y. Hilton,FA,23,37,331,14.4,52,4,3,0,0,0,0,10,51.1,5.1,1.6%,2021,WR,Full
90,Keelan Cole Sr.,FA,28,51,449,16.0,54,7,1,0,0,0,0,14,50.9,3.6,0.0%,2021,WR,Full
91,Nico Collins,HOU,33,60,446,13.5,32,8,1,0,0,0,0,14,50.6,3.6,95.3%,2021,WR,Full
92,Laquon Treadwell,IND,33,51,434,13.2,41,6,1,0,0,0,0,12,49.4,4.1,0.0%,2021,WR,Full
93,Julio Jones,FA,31,48,434,14.0,51,4,1,0,0,0,0,10,49.4,4.9,0.8%,2021,WR,Full
94,Allen Robinson II,DET,38,66,410,10.8,39,5,1,0,0,0,0,12,49.0,4.1,0.8%,2021,WR,Full
95,Jerry Jeudy,CLE,38,56,467,12.3,40,7,0,2,3,0,0,10,47.0,4.7,72.7%,2021,WR,Full
96,Mack Hollins,BUF,14,28,223,15.9,65,4,4,0,0,0,0,16,46.3,2.9,2.5%,2021,WR,Full
97,Jalen Reagor,LAC,33,57,299,9.1,34,4,2,10,32,0,0,17,45.1,2.7,0.0%,2021,WR,Full
98,Danny Amendola,FA,24,38,248,10.3,39,4,3,0,0,0,0,8,44.8,5.6,0.0%,2021,WR,Full
99,Demarcus Robinson,LAR,25,41,264,10.6,33,3,3,0,0,0,0,15,44.4,3.0,17.8%,2021,WR,Full
100,Devin Duvernay,JAC,33,47,272,8.2,21,1,2,7,50,0,0,16,44.2,2.8,0.2%,2021,WR,Full
101,Kadarius Toney,FA,39,57,420,10.8,38,5,0,3,6,0,0,9,43.4,4.8,0.7%,2021,WR,Full
102,Sammy Watkins,FA,27,49,394,14.6,49,6,1,0,0,0,1,11,43.4,3.9,0.0%,2021,WR,Full
103,Chris Conley,SF,22,37,323,14.7,41,5,2,1,3,0,1,14,42.6,3.0,0.1%,2021,WR,Full
104,Darius Slayton,NYG,26,58,339,13.0,42,4,2,1,-13,0,1,13,42.6,3.3,9.9%,2021,WR,Full
105,James Washington,FA,24,44,285,11.9,42,4,2,2,13,0,0,15,41.8,2.8,0.0%,2021,WR,Full
106,Sterling Shepard,TB,36,53,366,10.2,37,4,1,1,-9,0,0,7,41.7,6.0,5.1%,2021,WR,Full
107,Calvin Ridley,TEN,31,52,281,9.1,22,3,2,0,0,0,0,5,40.1,8.0,77.8%,2021,WR,Full
108,Damiere Byrd,FA,26,38,329,12.7,54,3,1,0,0,0,1,11,38.9,3.5,0.0%,2021,WR,Full
109,Antoine Wesley,FA,19,32,208,10.9,33,4,3,0,0,0,0,8,38.8,4.9,0.0%,2021,WR,Full
110,Adam Humphries,FA,41,62,383,9.3,27,4,0,0,0,0,0,17,38.3,2.3,0.0%,2021,WR,Full
111,Marquise Goodwin,FA,20,40,313,15.7,50,5,1,2,-1,0,0,14,37.2,2.7,0.0%,2021,WR,Full
112,Lil'Jordan Humphrey,DEN,13,18,249,19.2,56,6,2,0,0,0,0,8,36.9,4.6,1.1%,2021,WR,Full
113,Tyler Johnson,LAR,36,55,360,10.0,31,4,0,0,0,0,0,16,36.0,2.3,0.9%,2021,WR,Full
114,Chester Rogers,FA,30,43,301,10.0,39,3,1,1,9,0,1,16,35.0,2.2,0.0%,2021,WR,Full
115,Chris Moore,WAS,21,22,227,10.8,67,4,2,0,0,0,0,10,34.7,3.5,0.0%,2021,WR,Full
116,Cyril Grayson Jr.,FA,10,12,212,21.2,62,4,2,1,14,0,0,3,34.6,11.5,0.0%,2021,WR,Full
117,Quintez Cephus,LAR,15,22,204,13.6,46,5,2,0,0,0,0,5,34.4,6.9,0.0%,2021,WR,Full
118,Cam Sims,FA,15,23,211,14.1,43,2,2,1,7,0,0,12,33.8,2.8,0.0%,2021,WR,Full
119,Rashard Higgins,FA,24,47,275,11.5,21,1,1,0,0,0,0,12,33.5,2.8,0.0%,2021,WR,Full
120,Malik Turner,FA,12,16,149,12.4,61,1,3,0,0,0,0,7,32.9,4.7,0.0%,2021,WR,Full
121,Ashton Dulin,IND,13,22,173,13.3,62,2,2,3,32,0,0,16,32.5,2.0,0.0%,2021,WR,Full
122,Isaiah McKenzie,FA,20,26,178,8.9,28,1,1,9,47,1,1,15,32.5,2.2,0.0%,2021,WR,Full
123,Brandon Zylstra,FA,18,25,250,13.9,55,4,1,0,0,0,0,12,31.0,2.6,0.0%,2021,WR,Full
124,John Ross,FA,11,20,224,20.4,51,2,1,1,16,0,0,9,30.0,3.3,0.0%,2021,WR,Full
125,Jakeem Grant Sr.,FA,11,17,132,12.0,46,2,2,5,33,0,3,15,28.5,1.9,0.0%,2021,WR,Full
126,Isaiah Ford,FA,12,16,161,13.4,52,2,2,0,0,0,0,9,28.1,3.1,0.0%,2021,WR,Full
127,Greg Ward,FA,7,11,95,13.6,27,1,3,0,0,0,0,10,27.6,2.8,0.0%,2021,WR,Full
128,DJ Chark Jr.,LAC,7,22,154,22.0,41,3,2,0,0,0,0,3,27.4,9.1,4.2%,2021,WR,Full
129,Tavon Austin,FA,24,38,213,8.9,25,2,1,3,21,0,1,12,27.4,2.3,0.6%,2021,WR,Full
130,Ray-Ray McCloud III,ATL,39,66,277,7.1,24,2,0,2,15,0,1,16,27.2,1.7,16.2%,2021,WR,Full
131,Ihmir Smith-Marsette,NYG,5,6,116,23.2,44,2,2,0,0,0,0,6,23.6,3.9,0.1%,2021,WR,Full
132,Kendall Hinton,FA,15,23,175,11.7,40,2,1,0,0,0,0,11,23.5,2.1,0.0%,2021,WR,Full
133,Anthony Schwartz,MIA,10,23,135,13.5,44,1,1,6,39,0,0,13,23.4,1.8,0.0%,2021,WR,Full
134,Albert Wilson,FA,25,39,213,8.5,64,1,0,4,17,0,0,10,23.0,2.3,0.0%,2021,WR,Full
135,Tajae Sharpe,FA,25,37,230,9.2,17,0,0,0,0,0,0,14,23.0,1.6,0.0%,2021,WR,Full
136,Breshad Perriman,FA,11,18,167,15.2,58,3,1,1,-3,0,0,5,22.4,4.5,0.0%,2021,WR,Full
137,Parris Campbell,PHI,10,20,162,16.2,51,3,1,0,0,0,0,6,22.2,3.7,0.0%,2021,WR,Full
138,James Proche II,CLE,16,20,202,12.6,32,2,0,0,0,0,0,7,20.2,2.9,0.0%,2021,WR,Full
139,JuJu Smith-Schuster,KC,15,28,129,8.6,24,1,0,3,9,1,0,5,19.8,4.0,3.9%,2021,WR,Full
140,Noah Brown,WAS,16,25,184,11.5,27,3,0,0,0,0,0,10,18.4,1.8,5.8%,2021,WR,Full
141,Dee Eskridge,MIA,10,20,64,6.4,17,0,1,4,59,0,0,8,18.3,2.3,0.0%,2021,WR,Full
142,Mohamed Sanu Sr.,FA,15,24,177,11.8,21,1,0,0,0,0,0,8,17.7,2.2,0.0%,2021,WR,Full
143,KhaDarel Hodge,ATL,13,27,157,12.1,42,2,0,0,0,0,0,12,17.7,1.5,0.1%,2021,WR,Full
144,N'Keal Harry,FA,12,22,184,15.3,43,3,0,0,0,0,1,10,16.4,1.6,0.0%,2021,WR,Full
145,Kristian Wilkerson,LV,4,8,42,10.5,20,1,2,0,0,0,0,1,16.2,16.2,1.3%,2021,WR,Full
146,Dyami Brown,WAS,12,25,165,13.8,48,3,0,1,-4,0,0,10,16.1,1.6,11.7%,2021,WR,Full
147,Terrace Marshall Jr.,LV,17,30,138,8.1,23,1,0,0,0,0,0,12,15.8,1.3,0.0%,2021,WR,Full
148,Marcus Johnson,FA,9,19,160,17.8,50,3,0,2,-2,0,0,7,15.8,2.3,0.0%,2021,WR,Full
149,Dante Pettis,NO,10,16,87,8.7,27,1,1,0,0,0,0,3,15.3,5.1,0.1%,2021,WR,Full
150,Trent Sherfield Sr.,MIN,9,20,87,9.7,18,0,1,0,0,0,0,12,14.7,1.2,0.1%,2021,WR,Full
151,Scotty Miller,FA,5,9,38,7.6,13,0,0,2,43,1,0,6,14.1,2.4,0.1%,2021,WR,Full
152,Denzel Mims,FA,8,23,133,16.6,40,3,0,0,0,0,0,10,13.3,1.3,0.0%,2021,WR,Full
153,Ben Skowronek,PIT,11,20,133,12.1,35,2,0,0,0,0,0,12,13.3,1.1,0.0%,2021,WR,Full
154,Kenny Stills,FA,6,23,68,11.3,22,1,1,1,1,0,0,7,12.9,1.8,0.0%,2021,WR,Full
155,Tom Kennedy,DET,6,10,54,9.0,15,0,0,0,0,0,0,7,12.4,1.8,0.0%,2021,WR,Full
156,Jeff Smith,FA,8,17,113,14.1,35,1,0,1,-1,0,0,9,11.2,1.2,0.0%,2021,WR,Full
157,Equanimeous St. Brown,FA,9,17,98,10.9,26,1,0,3,14,0,0,12,11.2,0.9,0.0%,2021,WR,Full
158,Phillip Dorsett II,ATL,7,14,110,15.7,36,2,0,1,0,0,0,5,11.0,2.2,0.0%,2021,WR,Full
159,Dez Fitzpatrick,LAC,5,8,49,9.8,18,0,1,0,0,0,0,3,10.9,3.6,0.0%,2021,WR,Full
160,Collin Johnson,CHI,11,21,105,9.5,16,0,0,0,0,0,0,8,10.5,1.3,0.0%,2021,WR,Full
161,Trinity Benson,FA,10,22,103,10.3,24,2,0,0,0,0,0,7,10.3,1.5,0.0%,2021,WR,Full
162,Shi Smith,FA,6,11,104,17.3,63,1,0,1,-3,0,0,5,10.1,2.0,0.0%,2021,WR,Full
163,Chris Hogan,FA,4,8,41,10.3,16,0,1,0,0,0,0,5,10.1,2.0,0.0%,2021,WR,Full
164,Auden Tate,FA,3,4,39,13.0,18,0,1,0,0,0,0,4,9.9,2.5,0.0%,2021,WR,Full
165,Josh Gordon,FA,5,14,32,6.4,11,0,1,0,0,0,0,9,9.2,1.0,0.1%,2021,WR,Full
166,Cameron Batson,FA,2,5,15,7.5,13,0,1,2,15,0,0,4,9.0,2.3,0.0%,2021,WR,Full
167,Anthony Miller,BAL,6,12,25,4.2,10,0,1,0,0,0,0,3,8.5,2.8,0.0%,2021,WR,Full
168,Dezmon Patmon,FA,2,4,21,10.5,14,0,1,0,0,0,0,4,8.1,2.0,0.0%,2021,WR,Full
169,Preston Williams,FA,6,16,71,11.8,34,2,0,1,7,0,0,6,7.8,1.3,0.0%,2021,WR,Full
170,KJ Hamler,BUF,5,10,74,14.8,28,2,0,0,0,0,0,3,7.4,2.5,0.0%,2021,WR,Full
171,Andre Roberts,FA,1,2,35,35.0,35,1,0,3,19,0,2,16,7.4,0.5,0.0%,2021,WR,Full
172,Dede Westbrook,FA,10,15,68,6.8,17,0,0,0,0,0,0,15,6.8,0.5,0.0%,2021,WR,Full
173,Dax Milne,CAR,9,14,83,9.2,22,1,0,1,1,0,1,9,6.4,0.7,0.0%,2021,WR,Full
174,Ja'Marcus Bradley,FA,4,4,64,16.0,37,1,0,0,0,0,0,4,6.4,1.6,0.0%,2021,WR,Full
175,Brandon Powell,MIN,0,0,0,0,0,0,0,0,0,0,0,6,6.0,1.0,0.8%,2021,WR,Full
176,Penny Hart,FA,7,12,59,8.4,16,0,0,0,0,0,0,12,5.9,0.5,0.0%,2021,WR,Full
177,C.J. Board,FA,4,6,51,12.8,38,1,0,1,6,0,0,6,5.7,1.0,0.0%,2021,WR,Full
178,Amari Rodgers,FA,4,8,45,11.3,19,0,0,1,11,0,0,16,5.6,0.4,1.0%,2021,WR,Full
179,Jason Moore Jr.,FA,3,4,56,18.7,24,1,0,0,0,0,0,1,5.6,5.6,0.0%,2021,WR,Full
180,Alex Erickson,FA,3,4,55,18.3,25,1,0,0,0,0,0,17,5.5,0.3,0.0%,2021,WR,Full
181,Jaelon Darden,SEA,6,12,43,7.2,29,1,0,1,11,0,0,9,5.4,0.6,0.0%,2021,WR,Full
182,Mike Thomas,FA,5,11,52,10.4,19,0,0,0,0,0,0,7,5.2,0.7,0.0%,2021,WR,Full
183,William Fuller V,FA,4,8,26,6.5,10,0,0,0,0,0,0,2,4.6,2.3,0.0%,2021,WR,Full
184,Trent Taylor,SF,2,3,41,20.5,26,1,0,0,0,0,0,4,4.1,1.0,0.0%,2021,WR,Full
185,Gunner Olszewski,NYG,2,3,31,15.5,22,1,0,1,9,0,0,16,4.0,0.3,0.0%,2021,WR,Full
186,Greg Dortch,ARI,3,3,15,5.0,10,0,0,1,24,0,0,5,3.9,0.8,4.5%,2021,WR,Full
187,Willie Snead IV,FA,4,8,38,9.5,15,0,0,0,0,0,0,7,3.8,0.5,0.0%,2021,WR,Full
188,Kevin White,FA,1,5,38,38.0,38,1,0,0,0,0,0,4,3.8,1.0,0.0%,2021,WR,Full
189,Juwann Winfree,IND,8,13,58,7.3,12,0,0,0,0,0,1,5,3.8,0.8,0.0%,2021,WR,Full
190,Curtis Samuel,BUF,6,9,27,4.5,10,0,0,4,11,0,0,5,3.8,0.8,17.8%,2021,WR,Full
191,Pharoh Cooper,FA,4,11,33,8.3,15,0,0,1,3,0,0,8,3.6,0.5,0.0%,2021,WR,Full
192,J.J. Arcega-Whiteside,FA,2,5,36,18.0,23,1,0,0,0,0,0,7,3.6,0.5,0.0%,2021,WR,Full
193,D.J. Montgomery,IND,3,6,36,12.0,14,0,0,0,0,0,0,2,3.6,1.8,0.0%,2021,WR,Full
194,Seth Williams,DAL,1,1,34,34.0,34,1,0,0,0,0,0,1,3.4,3.4,0.0%,2021,WR,Full
195,Trenton Irwin,FA,2,5,34,17.0,25,1,0,0,0,0,0,5,3.4,0.7,0.1%,2021,WR,Full
196,Cody White,SEA,5,6,33,6.6,11,0,0,0,0,0,0,6,3.3,0.6,0.0%,2021,WR,Full
197,Cody Hollister,FA,4,7,33,8.3,14,0,0,0,0,0,0,3,3.3,1.1,0.0%,2021,WR,Full
198,KJ Hill Jr.,FA,3,3,30,10.0,19,0,0,0,0,0,0,6,3.0,0.5,0.0%,2021,WR,Full
199,Jake Kumerow,FA,2,6,28,14.0,15,0,0,0,0,0,0,7,2.8,0.4,0.0%,2021,WR,Full
200,Michael Strachan,WAS,2,3,26,13.0,16,0,0,0,0,0,0,2,2.6,1.3,0.0%,2021,WR,Full
201,Christian Blake,FA,4,10,25,6.3,8,0,0,0,0,0,0,10,2.5,0.3,0.0%,2021,WR,Full
202,Marcus Kemp,FA,2,5,24,12.0,16,0,0,0,0,0,0,12,2.4,0.2,0.0%,2021,WR,Full
203,Dazz Newsome,FA,2,5,23,11.5,13,0,0,0,0,0,0,3,2.3,0.8,0.0%,2021,WR,Full
204,Tylan Wallace,BAL,2,6,23,11.5,18,0,0,0,0,0,0,10,2.3,0.2,0.6%,2021,WR,Full
205,Davion Davis,FA,1,3,17,17.0,17,0,0,0,0,0,0,2,1.7,0.9,0.0%,2021,WR,Full
206,David Sills,ATL,2,6,17,8.5,12,0,0,0,0,0,0,4,1.7,0.4,0.0%,2021,WR,Full
207,Keith Kirkwood,BAL,3,7,17,5.7,7,0,0,0,0,0,0,3,1.7,0.6,0.0%,2021,WR,Full
