Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
1,Saquon Barkley,PHI,26,255,9.8,72,2,2,4,4,47,11.8,0,0,1,42.2,42.2,97.8%,2024,RB,12
2,Josh Jacobs,GB,26,106,4.1,18,0,3,0,1,0,0,0,0,1,28.6,28.6,96.3%,2024,RB,12
3,Jahmyr Gibbs,DET,21,90,4.3,17,0,2,3,3,9,3.0,0,0,1,21.9,21.9,97.5%,2024,RB,12
4,Bucky Irving,TB,12,88,7.3,56,1,1,6,6,64,10.7,0,0,1,21.2,21.2,87.5%,2024,RB,12
5,Tony Pollard,TEN,24,119,5.0,27,1,1,3,5,10,3.3,0,0,1,18.9,18.9,80.4%,2024,RB,12
6,Nick Chubb,CLE,20,59,3.0,7,0,2,1,1,1,1.0,0,0,1,18.0,18.0,55.1%,2024,RB,12
7,De'Von Achane,MIA,10,32,3.2,9,0,0,3,4,24,8.0,2,0,1,17.6,17.6,92.9%,2024,RB,12
8,Aaron Jones Sr.,MIN,22,106,4.8,41,1,1,3,4,23,7.7,0,1,1,16.9,16.9,91.4%,2024,RB,12
9,Chuba Hubbard,CAR,16,58,3.6,13,0,1,1,5,2,2.0,0,0,1,14.0,14.0,73.0%,2024,RB,12
10,Derrick Henry,BAL,24,140,5.8,27,1,0,0,0,0,0,0,0,1,14.0,14.0,97.5%,2024,RB,12
11,David Montgomery,DET,8,37,4.6,13,0,1,3,3,36,12.0,0,0,1,13.3,13.3,75.4%,2024,RB,12
12,Ameer Abdullah,LV,8,28,3.5,5,0,0,5,6,37,7.4,1,0,1,12.5,12.5,25.1%,2024,RB,12
13,Jaylen Warren,PIT,11,45,4.1,15,0,1,3,4,19,6.3,0,0,1,12.4,12.4,68.2%,2024,RB,12
14,Justice Hill,BAL,4,55,13.8,51,1,1,2,2,7,3.5,0,0,1,12.2,12.2,24.4%,2024,RB,12
15,Kyren Williams,LAR,16,72,4.5,27,1,1,0,0,0,0,0,1,1,11.2,11.2,94.2%,2024,RB,12
16,Rachaad White,TB,12,37,3.1,9,0,1,1,1,10,10.0,0,0,1,10.7,10.7,85.8%,2024,RB,12
17,Kenneth Walker III,SEA,16,41,2.6,14,0,0,4,6,52,13.0,0,0,1,9.3,9.3,81.7%,2024,RB,12
18,Kareem Hunt,KC,16,68,4.3,13,0,0,3,4,19,6.3,0,0,1,8.7,8.7,48.5%,2024,RB,12
19,Kenneth Gainwell,PHI,5,22,4.4,13,0,1,0,0,0,0,0,0,1,8.2,8.2,11.7%,2024,RB,12
20,Rico Dowdle,DAL,19,86,4.5,9,0,0,3,3,12,4.0,0,1,1,7.8,7.8,73.9%,2024,RB,12
21,Roschon Johnson,CHI,2,2,1.0,1,0,1,1,1,10,10.0,0,0,1,7.2,7.2,16.7%,2024,RB,12
22,Gus Edwards,LAC,9,11,1.2,8,0,1,0,1,0,0,0,0,1,7.1,7.1,45.3%,2024,RB,12
23,Sean Tucker,TB,4,3,0.8,3,0,1,1,1,7,7.0,0,0,1,7.0,7.0,5.4%,2024,RB,12
24,Devin Singletary,NYG,2,3,1.5,2,0,1,2,2,7,3.5,0,0,1,7.0,7.0,43.6%,2024,RB,12
25,D'Andre Swift,CHI,13,30,2.3,8,0,0,3,4,35,11.7,0,0,1,6.5,6.5,83.1%,2024,RB,12
26,J.K. Dobbins,LAC,6,40,6.7,17,0,0,3,5,19,6.3,0,0,1,5.9,5.9,74.2%,2024,RB,12
27,Najee Harris,PIT,16,41,2.6,11,0,0,2,2,13,6.5,0,0,1,5.4,5.4,85.5%,2024,RB,12
28,Tyrone Tracy Jr.,NYG,9,42,4.7,16,0,0,4,4,28,7.0,0,1,1,5.0,5.0,74.5%,2024,RB,12
29,James Conner,ARI,7,8,1.1,4,0,0,5,5,41,8.2,0,0,1,4.9,4.9,82.6%,2024,RB,12
30,Christian McCaffrey,SF,11,31,2.8,9,0,0,3,4,37,12.3,0,1,1,4.8,4.8,66.6%,2024,RB,12
31,Joe Mixon,HOU,14,22,1.6,8,0,0,5,6,23,4.6,0,0,1,4.5,4.5,93.9%,2024,RB,12
32,Antonio Gibson,NE,6,31,5.2,14,0,0,1,2,14,14.0,0,0,1,4.5,4.5,22.5%,2024,RB,12
33,Jaleel McLaughlin,DEN,7,44,6.3,18,0,0,0,1,0,0,0,0,1,4.4,4.4,25.7%,2024,RB,12
34,Emanuel Wilson,GB,9,41,4.6,19,0,0,0,0,0,0,0,0,1,4.1,4.1,4.8%,2024,RB,12
35,Jonathan Taylor,IND,11,35,3.2,14,0,0,0,0,0,0,0,0,1,3.5,3.5,92.9%,2024,RB,12
36,Sincere McCormick,LV,5,33,6.6,19,0,0,0,0,0,0,0,0,1,3.3,3.3,14.0%,2024,RB,12
